,Country,Year,Age,Employment Gap in %,Employed Persons in Thousands,IndexValueEmployment
0,Austria,2009,Y15-24,0.06,525,0.823529411764706
1,Austria,2010,Y15-24,0.08,519,0.7647058823529411
2,Austria,2011,Y15-24,0.08,528,0.7647058823529411
3,Austria,2012,Y15-24,0.07,527,0.7941176470588235
4,Austria,2013,Y15-24,0.06,521,0.823529411764706
5,Austria,2014,Y15-24,0.04,508,0.8823529411764707
6,Austria,2015,Y15-24,0.05,500,0.8529411764705883
7,Austria,2016,Y15-24,0.04,501,0.8823529411764707
8,Austria,2017,Y15-24,0.03,484,0.911764705882353
9,Austria,2018,Y15-24,0.05,481,0.8529411764705883
10,Austria,2019,Y15-24,0.07,473,0.7941176470588235
11,Austria,2020,Y15-24,0.05,450,0.8529411764705883
12,Austria,2021,Y15-24,0.09,449,0.7352941176470588
13,Belgium,2009,Y15-24,0.04,331,0.8823529411764707
14,Belgium,2010,Y15-24,0.04,332,0.8823529411764707
15,Belgium,2011,Y15-24,0.04,344,0.8823529411764707
16,Belgium,2012,Y15-24,0.05,335,0.8529411764705883
17,Belgium,2013,Y15-24,0.03,313,0.911764705882353
18,Belgium,2014,Y15-24,0.02,306,0.9411764705882353
19,Belgium,2015,Y15-24,0.03,308,0.911764705882353
20,Belgium,2016,Y15-24,0.03,297,0.911764705882353
21,Belgium,2017,Y15-24,0.03,293,0.911764705882353
22,Belgium,2018,Y15-24,0.02,322,0.9411764705882353
23,Belgium,2019,Y15-24,0.01,343,0.9705882352941176
24,Belgium,2020,Y15-24,0.03,310,0.911764705882353
25,Belgium,2021,Y15-24,0.02,324,0.9411764705882353
26,Bulgaria,2009,Y15-24,0.1,223,0.7058823529411765
27,Bulgaria,2010,Y15-24,0.09,204,0.7352941176470588
28,Bulgaria,2011,Y15-24,0.09,177,0.7352941176470588
29,Bulgaria,2012,Y15-24,0.09,166,0.7352941176470588
30,Bulgaria,2013,Y15-24,0.08,153,0.7647058823529411
31,Bulgaria,2014,Y15-24,0.09,142,0.7352941176470588
32,Bulgaria,2015,Y15-24,0.1,134,0.7058823529411765
33,Bulgaria,2016,Y15-24,0.09,124,0.7352941176470588
34,Bulgaria,2017,Y15-24,0.1,139,0.7058823529411765
35,Bulgaria,2018,Y15-24,0.1,122,0.7058823529411765
36,Bulgaria,2019,Y15-24,0.09,125,0.7352941176470588
37,Bulgaria,2020,Y15-24,0.08,107,0.7647058823529411
38,Bulgaria,2021,Y15-24,0.07,104,0.7941176470588235
39,Cyprus,2009,Y15-24,0.03,35,0.911764705882353
40,Cyprus,2010,Y15-24,0.01,35,0.9705882352941176
41,Cyprus,2011,Y15-24,0.03,31,0.911764705882353
42,Cyprus,2012,Y15-24,0.04,30,0.8823529411764707
43,Cyprus,2013,Y15-24,0.01,25,0.9705882352941176
44,Cyprus,2014,Y15-24,0.0,27,1.0
45,Cyprus,2015,Y15-24,-0.03,25,1.088235294117647
46,Cyprus,2016,Y15-24,0.0,25,1.0
47,Cyprus,2017,Y15-24,-0.07,27,1.2058823529411764
48,Cyprus,2018,Y15-24,-0.08,30,1.2352941176470589
49,Cyprus,2019,Y15-24,-0.04,30,1.1176470588235294
50,Cyprus,2020,Y15-24,-0.02,29,1.0588235294117647
51,Cyprus,2021,Y15-24,0.03,32,0.911764705882353
52,Czech Republic,2009,Y15-24,0.09,353,0.7352941176470588
53,Czech Republic,2010,Y15-24,0.09,327,0.7352941176470588
54,Czech Republic,2011,Y15-24,0.09,303,0.7352941176470588
55,Czech Republic,2012,Y15-24,0.08,301,0.7647058823529411
56,Czech Republic,2013,Y15-24,0.09,294,0.7352941176470588
57,Czech Republic,2014,Y15-24,0.1,300,0.7058823529411765
58,Czech Republic,2015,Y15-24,0.1,303,0.7058823529411765
59,Czech Republic,2016,Y15-24,0.11,295,0.6764705882352942
60,Czech Republic,2017,Y15-24,0.1,291,0.7058823529411765
61,Czech Republic,2018,Y15-24,0.08,277,0.7647058823529411
62,Czech Republic,2019,Y15-24,0.08,270,0.7647058823529411
